Devices
1000
,,Imported AMTI OR6 Series Force Plate - CoP,,,Imported AMTI OR6 Series Force Plate - CoP,,,Imported AMTI OR6 Series Force Plate - Force (Reaction),,,Imported AMTI OR6 Series Force Plate - Force (Reaction),,,Imported AMTI OR6 Series Force Plate - Moment (Reaction),,,Imported AMTI OR6 Series Force Plate - Moment (Reaction),,,
Frame,Sub Frame,Cx,Cy,Cz,Cx,Cy,Cz,Fx,Fy,Fz,Fx,Fy,Fz,Mx,My,Mz,Mx,My,Mz
,,mm,mm,mm,mm,mm,mm,N,N,N,N,N,N,mm.N,mm.N,mm.N,mm.N,mm.N,mm.N
1,0,291.99,370.415,0,282.613,754.087,0,-5.20683,26.351,324.831,6.32603,-35.1184,314.607,40414,-6818.21,-1675.6,-46219.8,-3653.65,3759.14
1,1,296.658,370.952,0,282.469,754.315,0,-5.33098,28.5983,324.234,5.9709,-34.3574,314.604,40513.8,-8319.16,-1702.34,-46147.9,-3608.35,3760.64
1,2,291.609,370.3,0,281.871,754.471,0,-5.076,28.2611,325.527,5.92179,-34.7853,314.787,40463,-6708.88,-1673.79,-46125.4,-3422.04,3773.52
1,3,291.718,370.711,0,282.257,755.656,0,-5.25184,28.4666,324.828,5.35641,-34.8164,315.574,40509.8,-6729.88,-1678.13,-45866.8,-3552.3,3716.51
1,4,291.84,370.333,0,282.218,753.966,0,-5.34025,28.5974,325.088,5.90141,-34.7847,315.311,40419,-6774.82,-1732.16,-46361.4,-3537.2,3767.88
1,5,291.551,370.4,0,282.422,754.603,0,-5.25319,28.6856,325.174,6.23654,-34.6095,315.304,40451.4,-6682.55,-1749.22,-46159.5,-3601.45,3764.62
1,6,291.77,370.693,0,281.897,755.456,0,-5.38462,28.5088,324.735,5.64754,-34.8047,317.418,40492,-6744.61,-1834.32,-46198.2,-3458.81,3835.56
1,7,291.881,370.543,0,282.454,754.64,0,-4.76098,28.3956,325.087,5.96667,-34.8324,315.047,40487.4,-6788.12,-1732.16,-46110.1,-3608.44,3777.96
1,8,291.534,371.111,0,282.332,755.753,0,-5.16363,28.7565,324.652,6.18792,-34.4124,315.124,40617.5,-6666.38,-1717.35,-45770.8,-3571.02,3708.66
1,9,292.268,370.736,0,282.172,755.082,0,-5.29489,28.6611,325.441,6.03009,-35.1464,314.611,40594.2,-6921.52,-1723.69,-45907.5,-3514.7,3765.07
2,0,291.75,370.812,0,282.272,754.784,0,-5.16227,29.1203,325.154,6.14654,-34.2748,315.737,40583.1,-6746.82,-2235.07,-46165.9,-3558.93,3684.58
2,1,292.052,371.175,0,282.132,754.286,0,-5.18588,28.3393,325.2,6.14766,-34.6418,313.551,40707,-6846.08,-1219.12,-46002.2,-3490.57,3662.61
2,2,292.031,369.477,0,282.917,754.409,0,-4.64866,28.57,325.699,6.68963,-34.2245,314.508,40216.3,-6849.92,-1693.22,-46103.9,-3747.9,3787.87
2,3,291.908,370.869,0,282.695,754.87,0,-5.29784,28.573,325.53,6.30642,-34.0703,314.858,40648.5,-6806.21,-1664.8,-46010.3,-3682.38,3725.93
2,4,292.101,369.535,0,282.4,755.563,0,-5.19064,28.6181,327.967,5.64971,-34.5962,316.184,40515.4,-6920.32,-1862.21,-45984.9,-3604.38,3769.89
2,5,292.802,370.744,0,283.157,754.134,0,-5.11352,27.7268,325.269,5.99407,-34.6195,313.637,40575.3,-7091.47,-1689.7,-46062.7,-3812.91,3711.51
2,6,291.445,370.916,0,282.64,754.614,0,-5.29723,28.0456,324.388,6.06056,-34.3826,314.518,40521.4,-6632.04,-1748.96,-46041.2,-3660.91,3832.66
